Freq.	V(vi)/I(C)
Step Information: Run=1  (Run: 1/100)
1.94984459975803e+003	-2.27102429412202e+005,2.45403330716421e+006
1.99526231496887e+003	-2.27102429412234e+005,2.39817268922761e+006
2.04173794466952e+003	-2.27102429412268e+005,2.34358361419440e+006
2.08929613085403e+003	-2.27102429412303e+005,2.29023713821444e+006
2.13796208950222e+003	-2.27102429412340e+005,2.23810497628002e+006
2.18776162394954e+003	-2.27102429412379e+005,2.18715948722886e+006
2.23872113856832e+003	-2.27102429412420e+005,2.13737365908830e+006
2.29086765276776e+003	-2.27102429412462e+005,2.08872109475328e+006
2.34422881531991e+003	-2.27102429412507e+005,2.04117599799018e+006
2.39883291901947e+003	-2.27102429412554e+005,1.99471315975938e+006
2.45470891568501e+003	-2.27102429412603e+005,1.94930794484904e+006
2.51188643150956e+003	-2.27102429412655e+005,1.90493627881319e+006
2.57039578276885e+003	-2.27102429412709e+005,1.86157463520718e+006
2.63026799189536e+003	-2.27102429412766e+005,1.81920002311362e+006
2.69153480392690e+003	-2.27102429412826e+005,1.77778997495227e+006
2.75422870333815e+003	-2.27102429412889e+005,1.73732253456747e+006
2.81838293126443e+003	-2.27102429412955e+005,1.69777624558668e+006
2.88403150312659e+003	-2.27102429413024e+005,1.65913014004403e+006
2.95120922666636e+003	-2.27102429413097e+005,1.62136372726281e+006
3.01995172040199e+003	-2.27102429413173e+005,1.58445698299108e+006
3.09029543251357e+003	-2.27102429413253e+005,1.54839033878450e+006
3.16227766016836e+003	-2.27102429413338e+005,1.51314467163091e+006
3.23593656929626e+003	-2.27102429413426e+005,1.47870129381105e+006
3.31131121482589e+003	-2.27102429413519e+005,1.44504194299010e+006
3.38844156139200e+003	-2.27102429413617e+005,1.41214877253472e+006
3.46736850452529e+003	-2.27102429413720e+005,1.38000434205054e+006
3.54813389233573e+003	-2.27102429413828e+005,1.34859160813503e+006
3.63078054770099e+003	-2.27102429413942e+005,1.31789391534087e+006
3.71535229097170e+003	-2.27102429414061e+005,1.28789498734502e+006
3.80189396320558e+003	-2.27102429414187e+005,1.25857891831876e+006
3.89045144994278e+003	-2.27102429414319e+005,1.22993016449426e+006
3.98107170553494e+003	-2.27102429414459e+005,1.20193353592303e+006
4.07380277804110e+003	-2.27102429414605e+005,1.17457418842202e+006
4.16869383470332e+003	-2.27102429414760e+005,1.14783761570304e+006
4.26579518801589e+003	-2.27102429414922e+005,1.12170964168134e+006
4.36515832240162e+003	-2.27102429415094e+005,1.09617641295924e+006
4.46683592150960e+003	-2.27102429415274e+005,1.07122439148090e+006
4.57088189614871e+003	-2.27102429415464e+005,1.04684034735426e+006
4.67735141287194e+003	-2.27102429415665e+005,1.02301135183637e+006
4.78630092322634e+003	-2.27102429415876e+005,9.99724770478377e+005
4.89778819368442e+003	-2.27102429416099e+005,9.76968256426620e+005
5.01187233627268e+003	-2.27102429416335e+005,9.54729743876129e+005
5.12861383991361e+003	-2.27102429416583e+005,9.32997441673190e+005
5.24807460249768e+003	-2.27102429416845e+005,9.11759827063515e+005
5.37031796370248e+003	-2.27102429417122e+005,8.91005639582724e+005
5.49540873857620e+003	-2.27102429417414e+005,8.70723875085902e+005
5.62341325190344e+003	-2.27102429417723e+005,8.50903779913053e+005
5.75439937337152e+003	-2.27102429418049e+005,8.31534845187367e+005
5.88843655355584e+003	-2.27102429418394e+005,8.12606801243276e+005
6.02559586074353e+003	-2.27102429418758e+005,7.94109612181340e+005
6.16595001861477e+003	-2.27102429419143e+005,7.76033470547081e+005
6.30957344480188e+003	-2.27102429419550e+005,7.58368792130939e+005
6.45654229034650e+003	-2.27102429419981e+005,7.41106210886601e+005
6.60693448007590e+003	-2.27102429420436e+005,7.24236573964996e+005
6.76082975391976e+003	-2.27102429420917e+005,7.07750936861335e+005
6.91830970918931e+003	-2.27102429421426e+005,6.91640558672616e+005
7.07945784384132e+003	-2.27102429421963e+005,6.75896897463079e+005
7.24435960074984e+003	-2.27102429422530e+005,6.60511605735164e+005
7.41310241300911e+003	-2.27102429423129e+005,6.45476526003552e+005
7.58577575029177e+003	-2.27102429423760e+005,6.30783686469963e+005
7.76247116628685e+003	-2.27102429424424e+005,6.16425296796397e+005
7.94328234724275e+003	-2.27102429425121e+005,6.02393743974603e+005
8.12830516164092e+003	-2.27102429425852e+005,5.88681588289550e+005
8.31763771102664e+003	-2.27102429426616e+005,5.75281559374803e+005
8.51138038202369e+003	-2.27102429427411e+005,5.62186552357670e+005
8.70963589956073e+003	-2.27102429428234e+005,5.49389624092109e+005
8.91250938133738e+003	-2.27102429429080e+005,5.36883989477378e+005
9.12010839355902e+003	-2.27102429429943e+005,5.24663017860487e+005
9.33254300796983e+003	-2.27102429430813e+005,5.12720229520536e+005
9.54992586021428e+003	-2.27102429431676e+005,5.01049292233082e+005
9.77237220955802e+003	-2.27102429432515e+005,4.89644017912709e+005
9.99999999999991e+003	-2.27102429433305e+005,4.78498359332022e+005
1.02329299228075e+004	-2.27102429434017e+005,4.67606406915326e+005
1.04712854805089e+004	-2.27102429434613e+005,4.56962385605289e+005
1.07151930523760e+004	-2.27102429435046e+005,4.46560651800930e+005
1.09647819614318e+004	-2.27102429435262e+005,4.36395690365297e+005
1.12201845430195e+004	-2.27102429435199e+005,4.26462111701274e+005
1.14815362149687e+004	-2.27102429434790e+005,4.16754648893931e+005
1.17489755493952e+004	-2.27102429433972e+005,4.07268154917941e+005
1.20226443461740e+004	-2.27102429432685e+005,3.97997599908551e+005
1.23026877081237e+004	-2.27102429430892e+005,3.88938068494682e+005
1.25892541179416e+004	-2.27102429428580e+005,3.80084757192742e+005
1.28824955169312e+004	-2.27102429425772e+005,3.71432971859762e+005
1.31825673855640e+004	-2.27102429422535e+005,3.62978125204518e+005
1.34896288259164e+004	-2.27102429418970e+005,3.54715734355298e+005
1.38038426460287e+004	-2.27102429415206e+005,3.46641418483043e+005
1.41253754462274e+004	-2.27102429411386e+005,3.38750896478579e+005
1.44543977074591e+004	-2.27102429407648e+005,3.31039984682718e+005
1.47910838816819e+004	-2.27102429404108e+005,3.23504594668019e+005
1.51356124843619e+004	-2.27102429400855e+005,3.16140731071035e+005
1.54881661891247e+004	-2.27102429397948e+005,3.08944489473912e+005
1.58489319246110e+004	-2.27102429395411e+005,3.01912054334197e+005
1.62181009735891e+004	-2.27102429393248e+005,2.95039696961782e+005
1.65958690743755e+004	-2.27102429391442e+005,2.88323773541897e+005
1.69824365246173e+004	-2.27102429389965e+005,2.81760723203111e+005
1.73780082874936e+004	-2.27102429388784e+005,2.75347066129307e+005
1.77827941003891e+004	-2.27102429387864e+005,2.69079401714645e+005
1.81970085860997e+004	-2.27102429387168e+005,2.62954406760514e+005
1.86208713666285e+004	-2.27102429386666e+005,2.56968833713528e+005
1.90546071796323e+004	-2.27102429386327e+005,2.51119508943640e+005
1.94984459975803e+004	-2.27102429386126e+005,2.45403331061435e+005
1.99526231496886e+004	-2.27102429386041e+005,2.39817269273738e+005
2.04173794466951e+004	-2.27102429386054e+005,2.34358361776646e+005
2.08929613085402e+004	-2.27102429386149e+005,2.29023714185146e+005
2.13796208950221e+004	-2.27102429386314e+005,2.23810497998466e+005
2.18776162394953e+004	-2.27102429386536e+005,2.18715949100375e+005
2.23872113856832e+004	-2.27102429386809e+005,2.13737366293609e+005
2.29086765276775e+004	-2.27102429387124e+005,2.08872109867659e+005
2.34422881531990e+004	-2.27102429387476e+005,2.04117600199164e+005
2.39883291901947e+004	-2.27102429387861e+005,1.99471316384159e+005
2.45470891568501e+004	-2.27102429388275e+005,1.94930794901462e+005
2.51188643150956e+004	-2.27102429388714e+005,1.90493628306478e+005
2.57039578276884e+004	-2.27102429389178e+005,1.86157463954741e+005
2.63026799189536e+004	-2.27102429389665e+005,1.81920002754512e+005
